Column1;Timestamp;Name;Address;Postcode;Industry;Subindustry;Accepted_payment_methods;Most_used_method;Preferred_method
E02003790;;The Three Hills;Bartlow Rd, Cambridge CB21 4PW, United Kingdom;CB21 4PW;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02004575;;East of England Co-op Food;Riverside Ave E, Manningtree CO11 1US, United Kingdom;CO11 1US;Consumer Goods;Supermarket;Debit Card, Credit Card;Debit Card;Debit Card
E02006504;;Blue Bell Cider House;Warings Green Rd, Earlswood, Solihull B94 6BP, United Kingdom;B94 6BP;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Credit Card
E02006766;;Kemerton Coffee House;High St, Tewkesbury GL20 7HP, United Kingdom;GL20 7HP;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000978;;Tomtom Coffee House;114 Ebury St, London SW1W 9NZ, United Kingdom;SW1W 9NZ;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Contactless;Debit Card
E02005969;;The Cross Keys;48 High St, Wallingford OX10 0DB, United Kingdom;OX10 0DB;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003864;;Village Cafe;40 London Rd, Alderley Edge SK9 7DZ, United Kingdom;SK9 7DZ;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02004267;;The Square & Compass;Worth Matravers, Swanage BH19 3LF, United Kingdom;BH19 3LF;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Cash
E02005622;;The Pytchley Inn;23 High St, West Haddon, Northampton NN6 7AP, United Kingdom;NN6 7AP;Hospitality ;Pub;Debit Card, Credit Card;Contactless;Debit Card
E02003982;;Abbey Mill Coffee Shop;Abbey Approach, Barrow-in-Furness LA13 0PJ, United Kingdom;LA13 0PJ;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003725;;Hot Numbers - Trumpington St Cafe;4 Trumpington St, Cambridge CB2 1QA, United Kingdom;CB2 1QA;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Contactless;Cash
E02004027;;The Pig and Whistle;Cartmel, Grange-over-Sands LA11 6PL, United Kingdom;LA11 6PL;Hospitality ;Pub;Cash;Cash;Cash
E02005374;;Aldwinckles Coffee House;Aldwinckles Coffee House, 8C Church St, Market Harborough LE16 7AA, United Kingdom;LE16 7AA;Hospitality ;Coffee Related;Cash;Cash;Cash
E02006760;;National Trust - The Fleece Inn;The Cross, Bretforton, Evesham WR11 7JE, United Kingdom;WR11 7JE;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02003687;;The Three Oaks;Austenwood Ln, Chalfont St Peter, Gerrards Cross SL9 8NL, United Kingdom;SL9 8NL;Hospitality ;Pub;Debit Card, Credit Card;Debit Card;Debit Card
E02006525;;Fizzy Moon Brewhouse & Grill;35 Regent St, Leamington Spa CV32 5EE, United Kingdom;CV32 5EE;Hospitality ;Pub;Debit Card, Credit Card;Debit Card;Cash
E02003482;;The George;1 Watling St, Little Brickhill, Milton Keynes MK17 9LZ, United Kingdom;MK17 9LZ;Hospitality ;Pub;Debit Card, Credit Card;Debit Card;Cash
E02005628;;The Countryman;Daventry Rd, Staverton, Daventry NN11 6JH, United Kingdom;NN11 6JH;Hospitality ;Pub;Cash, Debit Card, Credit Card;Debit Card;Debit Card
E02005947;;Freud Cafe Bar;119 Walton St, Oxford OX2 6AH, United Kingdom;OX2 6AH;Hospitality ;Bar ;Debit Card, Credit Card;Contactless;Cash
E02005947;;Queen's Lane Coffee House;40 High St, Oxford OX1 4AP, United Kingdom;OX1 4AP;Hospitality ;Coffee Related;Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02005947;;Brew;75B Banbury Rd, Park Town, Oxford OX2 6PE, United Kingdom;OX2 6PE;Hospitality ;Coffee Related;Debit Card, Credit Card;Contactless;Debit Card
E02005947;;The Grand Café;84 High St, Oxford OX1 4BG, United Kingdom;OX1 4BG;Hospitality ;Coffee Related;Debit Card, Credit Card;Contactless;Cash
E02005947;;No.1 Ship Street;1 Ship St, Oxford OX1 3DA, United Kingdom;OX1 3DA;Hospitality ;Restaurant (Dine-in);Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02006204;;The Winking Man;Buxton Road, Upper Hulme, Leek ST13 8UH, United Kingdom;ST13 8UH;Hospitality ;Pub;Debit Card, Credit Card;Debit Card;Debit Card
E02005272;;Corto;36 King St, Clitheroe BB7 2EU, United Kingdom;BB7 2EU;Hospitality ;Bar ;Debit Card, Credit Card;Debit Card;Debit Card
E02002408;;Bean & Gone Espresso Bar;27 Lidget Hill, Pudsey LS28 7LG, United Kingdom;LS28 7LG;Hospitality ;Coffee Related;Debit Card, Credit Card;Debit Card;Debit Card
E02004608;;The Clarence Social;1 Clarence Parade, Cheltenham GL50 3NY, United Kingdom;GL50 3NY;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Cash
E02000970;;Workshop Coffee;1 Barrett St, London W1U 1AX, United Kingdom;W1U 1AX;Hospitality ;Coffee Related;Debit Card, Credit Card;Credit Card;Cash
E02000970;;The Monocle Café;18 Chiltern St, London W1U 7QA, United Kingdom;W1U 7QA;Hospitality ;Coffee Related;Debit Card, Credit Card;Debit Card;Cash
E02000970;;Le Gavroche;43 Upper Brook St, London W1K 7QR, United Kingdom;W1K 7QR;Hospitality ;Restaurant (Dine-in);Debit Card, Credit Card;Credit Card;Debit Card
E02000970;;Trishna;15-17 Blandford St, London W1U 3DG, United Kingdom;W1U 3DG;Hospitality ;Restaurant (Both Dine-in and Takeaway);Cash, Debit Card, Credit Card;Credit Card;Debit Card
E02006372;;The Gin Kitchen - Distillery & Cocktail Bar In Surrey;Punchbowl Ln, Dorking RH5 4DX, United Kingdom;RH5 4DX;Hospitality ;Bar ;Cash, Debit Card, Credit Card;Debit Card;Cash
